Time 0.01 - Sarah request 29, bought 13; priority **
Time 0.02 - Evelia request 2, bought 2; priority ***
Time 0.04 - Georgann request 30, bought 5; priority *
Time 0.05 - Lenita request 1, bought 1; priority *
Time 0.07 - Amal request 23, bought 21; priority ***
Time 0.08 - Aliza request 10, bought 10; priority ***
Time 0.09 - Sandee request 26, bought 21; priority ***
Time 0.13 - Laureen request 37, bought 13; priority **
Time 0.14 - Moon request 19, bought 19; priority ***
Time 0.15 - Norene request 44, bought 21; priority ***
Time 0.16 - Grisel request 24, bought 5; priority *
Time 0.18 - Alfonzo request 7, bought 5; priority *
Time 0.2 - Peg request 13, bought 13; priority **
Time 0.24 - Nelia request 1, bought 1; priority ***
Time 0.25 - Shelby request 10, bought 10; priority **
Time 0.26 - Arlena request 13, bought 13; priority **
Time 0.33 - Anna request 122, bought 21; priority ***
Time 0.34 - Cheri request 10, bought 10; priority ***
Time 0.36 - Stacee request 3, bought 3; priority **
Time 0.38 - Leif request 53, bought 13; priority **
Time 0.4 - Karl request 20, bought 20; priority ***
Time 0.43 - Zita request 14, bought 14; priority ***
Time 0.49 - Kirk request 3, bought 3; priority **
Time 0.53 - Lamar request 9, bought 5; priority *
Time 0.54 - Joslyn request 22, bought 13; priority **
Time 0.55 - Margeret request 23, bought 21; priority ***
Time 0.57 - Galen request 6, bought 5; priority *
Time 1 - Amie request 18, bought 18; priority ***
Time 1.07 - Nagoogin request 75, bought 21; priority ***
Time 1.08 - Ophelia request 14, bought 13; priority **
Time 1.1 - Wendy request 15, bought 5; priority *
Time 1.15 - Katharina request 13, bought 5; priority *
Time 1.16 - Joya request 12, bought 5; priority *
Time 1.17 - Takisha request 23, bought 13; priority **
Time 1.18 - Jacki request 14, bought 14; priority ***
Time 1.21 - Davida request 15, bought 15; priority ***
Time 1.22 - Latoya request 45, bought 21; priority ***
Time 1.24 - Tiana request 11, bought 11; priority **
Time 1.26 - Verla request 3, bought 3; priority **
Time 1.31 - Terry request 27, bought 13; priority **
Time 1.32 - Ami request 28, bought 21; priority ***
Time 1.33 - Thomas request 107, bought 21; priority ***
Time 1.34 - Miriam request 21, bought 5; priority *
Time 1.35 - Chanda request 29, bought 21; priority ***
Time 1.37 - Almeda request 11, bought 11; priority ***
Time 1.38 - Alfonso request 9, bought 9; priority ***
Time 1.39 - Kai request 24, bought 21; priority ***
Time 1.4 - Nila request 25, bought 13; priority **
Time 1.44 - Lucretia request 19, bought 19; priority ***
Time 1.45 - Stefanie request 6, bought 6; priority ***
Time 1.46 - Derek request 1, bought 1; priority ***
Time 1.47 - Gracia request 2, bought 2; priority **
Time 1.5 - Joelle request 26, bought 5; priority *
Time 1.51 - Garnett request 41, bought 13; priority **
Time 1.52 - Alayna request 5, bought 5; priority *
Time 1.57 - Cythia request 14, bought 13; priority **
Time 1.59 - Darron request 83, bought 13; priority **
Time 2.02 - Gretchen request 9, bought 5; priority *
Time 2.06 - Vada request 3, bought 3; priority ***
Time 2.07 - Graig request 24, bought 13; priority **
Time 2.09 - Shane request 7, bought 7; priority ***
Time 2.1 - Jarod request 29, bought 5; priority *
Time 2.11 - Altagracia request 9, bought 5; priority *
Time 2.15 - Tyrone request 11, bought 5; priority *
Time 2.19 - Glenda request 24, bought 21; priority ***
Time 2.22 - Olympia request 8, bought 8; priority **
Time 2.23 - Moira request 20, bought 20; priority ***
Time 2.24 - Efrain request 20, bought 5; priority *
Time 2.25 - Candra request 14, bought 14; priority ***
Time 2.26 - Hermine request 8, bought 8; priority **
Time 2.29 - Amanda request 7, bought 5; priority *
Time 2.33 - Gayla request 46, bought 21; priority ***
Time 2.34 - Minda request 7, bought 7; priority ***
Time 2.37 - Melonie request 27, bought 5; priority *
Time 2.4 - Gricelda request 30, bought 5; priority *
Time 2.41 - Suzi request 49, bought 21; priority ***
Time 2.43 - Zola request 5, bought 5; priority *
Time 2.44 - Marine request 19, bought 5; priority *
Time 2.46 - Latrisha request 10, bought 10; priority ***
Time 2.47 - Devona request 9, bought 5; priority *
Time 2.49 - Gerard request 1, bought 1; priority *
Time 2.5 - Codi request 28, bought 21; priority ***
Time 2.51 - Nyla request 59, bought 21; priority ***
Time 2.52 - Phyliss request 18, bought 13; priority **
Time 2.54 - Mallie request 18, bought 13; priority **
Time 2.55 - Christen request 38, bought 21; priority ***
Time 2.56 - Quintin request 21, bought 21; priority ***
Time 2.59 - Margarita request 41, bought 13; priority **
Time 3 - Thomas request 100, bought 21; priority ***
Time 3.01 - Esther request 15, bought 15; priority ***
Time 3.03 - Fawn request 8, bought 5; priority *
Time 3.04 - Berry request 33, bought 13; priority **
Time 3.06 - Svetlana request 51, bought 21; priority ***
Time 3.11 - Jone request 39, bought 21; priority ***
Time 3.13 - Ghislaine request 13, bought 13; priority ***
Time 3.18 - Miyoko request 8, bought 8; priority ***
Time 3.26 - Toi request 9, bought 9; priority **
Time 3.32 - Lesa request 24, bought 21; priority ***
Time 3.33 - Christine request 109, bought 21; priority ***
Time 3.34 - Daniel request 100, bought 21; priority ***
Time 3.35 - Veda request 30, bought 13; priority **
Time 3.36 - Minna request 22, bought 13; priority **
Time 3.4 - Sherice request 27, bought 21; priority ***
Time 3.42 - Rosaria request 22, bought 21; priority ***
Time 3.43 - Lilliana request 3, bought 3; priority *
Time 3.45 - Joaquin request 25, bought 5; priority *
Time 3.46 - Altagracia request 26, bought 13; priority **
Time 3.47 - Jaye request 11, bought 11; priority **
Time 3.51 - Sterling request 26, bought 21; priority ***
Time 3.52 - Sheree request 1, bought 1; priority **
Time 3.53 - Jung request 100, bought 21; priority ***
Time 3.57 - Devorah request 23, bought 13; priority **
Time 4 - Hung request 23, bought 13; priority **
